"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2017 03:00:00 - 05/01/2017 04:00:00","BZN|NL","Without sequence","31.06","",""
"05/01/2017 04:00:00 - 05/01/2017 05:00:00","BZN|NL","Without sequence","35.64","",""
"05/01/2017 05:00:00 - 05/01/2017 06:00:00","BZN|NL","Without sequence","35.73","",""
"05/01/2017 06:00:00 - 05/01/2017 07:00:00","BZN|NL","Without sequence","39.03","",""
"05/01/2017 07:00:00 - 05/01/2017 08:00:00","BZN|NL","Without sequence","41.27","",""
"05/01/2017 08:00:00 - 05/01/2017 09:00:00","BZN|NL","Without sequence","57.98","",""
"05/01/2017 09:00:00 - 05/01/2017 10:00:00","BZN|NL","Without sequence","54.11","",""
"05/01/2017 10:00:00 - 05/01/2017 11:00:00","BZN|NL","Without sequence","53.13","",""
"05/01/2017 11:00:00 - 05/01/2017 12:00:00","BZN|NL","Without sequence","50.06","",""
"05/01/2017 12:00:00 - 05/01/2017 13:00:00","BZN|NL","Without sequence","49.97","",""
"05/01/2017 13:00:00 - 05/01/2017 14:00:00","BZN|NL","Without sequence","49.0","",""
"05/01/2017 14:00:00 - 05/01/2017 15:00:00","BZN|NL","Without sequence","50.99","",""
"05/01/2017 15:00:00 - 05/01/2017 16:00:00","BZN|NL","Without sequence","57.48","",""
"05/01/2017 16:00:00 - 05/01/2017 17:00:00","BZN|NL","Without sequence","69.7","",""
"05/01/2017 17:00:00 - 05/01/2017 18:00:00","BZN|NL","Without sequence","74.8","",""
"05/01/2017 18:00:00 - 05/01/2017 19:00:00","BZN|NL","Without sequence","126.6","",""
"05/01/2017 19:00:00 - 05/01/2017 20:00:00","BZN|NL","Without sequence","65.15","",""
"05/01/2017 20:00:00 - 05/01/2017 21:00:00","BZN|NL","Without sequence","64.24","",""
"05/01/2017 21:00:00 - 05/01/2017 22:00:00","BZN|NL","Without sequence","43.09","",""
"05/01/2017 22:00:00 - 05/01/2017 23:00:00","BZN|NL","Without sequence","43.12","",""
"05/01/2017 23:00:00 - 06/01/2017 00:00:00","BZN|NL","Without sequence","37.08","",""
"06/01/2017 00:00:00 - 06/01/2017 01:00:00","BZN|NL","Without sequence","40.84","",""
"06/01/2017 01:00:00 - 06/01/2017 02:00:00","BZN|NL","Without sequence","37.23","",""
"06/01/2017 02:00:00 - 06/01/2017 03:00:00","BZN|NL","Without sequence","37.44","",""
"06/01/2017 03:00:00 - 06/01/2017 04:00:00","BZN|NL","Without sequence","38.0","",""
"06/01/2017 04:00:00 - 06/01/2017 05:00:00","BZN|NL","Without sequence","36.06","",""
"06/01/2017 05:00:00 - 06/01/2017 06:00:00","BZN|NL","Without sequence","38.87","",""
"06/01/2017 06:00:00 - 06/01/2017 07:00:00","BZN|NL","Without sequence","39.46","",""
"06/01/2017 07:00:00 - 06/01/2017 08:00:00","BZN|NL","Without sequence","49.49","",""
"06/01/2017 08:00:00 - 06/01/2017 09:00:00","BZN|NL","Without sequence","53.09","",""
"06/01/2017 09:00:00 - 06/01/2017 10:00:00","BZN|NL","Without sequence","66.47","",""
"06/01/2017 10:00:00 - 06/01/2017 11:00:00","BZN|NL","Without sequence","64.94","",""
"06/01/2017 11:00:00 - 06/01/2017 12:00:00","BZN|NL","Without sequence","57.7","",""
"06/01/2017 12:00:00 - 06/01/2017 13:00:00","BZN|NL","Without sequence","52.86","",""
"06/01/2017 13:00:00 - 06/01/2017 14:00:00","BZN|NL","Without sequence","54.99","",""
